profundidad,edad_min,edad_max,edad_median,edad_mean,Abies,Acacia,Agave,Alnus_oblongifolia,Arbutus,Berberis,Bursera_,Cactoideae,Canotia,Ceiba,Celtis,Populus,Cylindropuntia,Dasylirion,Desmanthus,Dodonaea_viscosa,Ephedra,Fraxinus,Juglans,Juniperus,Mimosa,Opuntia,Parkinsonia_aculeata,Picea,Pinus,Prosopis,Quercus,Rosaceae,Rutaceae,Salix,Sambucus_type,Tecoma_stans,Acanthaceae,Allionia,Amaranthaceae,Ambrosia,Apiaceae,Artemisia_ludoviciana,Asteroideae,Boerhavia_type,Boraginaceae,Brassicaceae,Callaeum_macropterum,Caryophyllaceae,Cichorioideae,Cirsium,Clematis,Convolvulaceae,Crassulaceae,Cucurbitaceae,Cyperaceae,Dalea,Eriogonum,Eustoma,Euphorbiaceae,Evolvulus,Faboideae,Gentianaceae,Ipomoea,Kallstroemia,Lamiaceae,Lippia_type,Lotus_type,Lythrum,Malvaceae,Marina,Mitracarpus,Monocotyledoneae,Nama,Oenothera,Onagraceae,Plantago,Poaceae,Cerealia,Polemoniaceae,Polygonum,Ranunculaceae,Rhamnaceae,Rubiaceae,Solanaceae,Tribulus,Trixis_californica,Typha,Urtica,Verbenaceae,Zea_mays,Zygophyllaceae,Pteridophyta,Total
129,4586,5721,5189,5181,0,0,0,0.003,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.003,0,0,0.081,0.003,0.084,0.003,0,0,0,0,0,0,0.187,0.016,0,0.013,0.258,0.01,0,0.003,0,0,0,0,0,0,0,0,0.013,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0.003,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0.006,0.971
132,4715,5837,5315,5305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.004,0.11,0,0,0,0,0,0.004,0,0.231,0.026,0,0.007,0.209,0.004,0,0,0,0,0,0,0,0,0,0,0.037,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0,0,0,0,0,0,0,0.007,0,0.007,0,0,0,0,0.015,0.993
135,4843,5943,5435,5426,0,0.003,0,0.003,0,0,0.006,0,0.003,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0.051,0.006,0.084,0.003,0,0,0,0,0,0,0.161,0.026,0,0.013,0.254,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0.003,0.01,0.006,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.277,0,0,0,0,0,0,0.003,0,0.003,0.006,0,0,0,0,0.013,0.984
138,4967,6064,5559,5548,0,0.003,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0.003,0.1,0,0,0,0,0,0.003,0,0.167,0.04,0,0.01,0.231,0.01,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.017,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0,0,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.013,0.967
141,5109,6159,5684,5671,0,0.003,0,0.003,0,0,0.003,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0.087,0,0,0.003,0.007,0,0,0,0.227,0.023,0,0.023,0.187,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.01,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.97
144,5240,6275,5808,5791,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.066,0.013,0.073,0,0,0,0,0,0.01,0,0.254,0.026,0,0.017,0.158,0.007,0,0,0,0.003,0,0,0,0,0,0,0.083,0,0,0,0.013,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,0.003,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.974
147,5383,6365,5929,5913,0,0,0,0.007,0,0,0,0,0,0,0.013,0,0,0,0.007,0,0,0,0,0.007,0,0.003,0,0,0.099,0.003,0.076,0,0,0,0,0.003,0.007,0,0.245,0.043,0,0.013,0.202,0,0,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.003,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.007,0.987
156,5802,6666,6291,6274,0,0,0,0,0,0,0.006,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.018,0.036,0,0,0,0,0,0.006,0,0.234,0.006,0,0.006,0.12,0.006,0,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0.03,0.006,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0.335,0,0,0,0,0,0,0.006,0,0,0.012,0,0,0,0,0.024,0.97
159,5956,6762,6412,6398,0,0,0,0.004,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0.004,0,0,0.008,0,0.064,0.016,0.052,0,0,0,0,0,0,0,0.209,0.032,0,0.016,0.169,0.008,0,0,0.004,0,0,0,0,0,0,0,0.04,0,0,0,0,0.008,0,0,0.004,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0.269,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.028,0.956
162,6100,6861,6534,6519,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0.006,0,0,0,0,0.013,0,0,0,0,0.038,0.006,0.095,0,0,0,0,0,0,0,0.203,0.038,0,0.006,0.177,0.006,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0.006,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0.032,0.994
165,6255,6942,6655,6641,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0.038,0.009,0.034,0,0,0,0,0,0,0,0.255,0.013,0,0.013,0.187,0.004,0,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0.004,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0.315,0.009,0,0,0,0.004,0,0,0,0,0.004,0,0,0,0,0.013,0.991
168,6400,7042,6777,6764,0,0,0,0,0,0,0,0.01,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0.117,0,0,0,0,0,0,0,0.311,0.039,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0.068,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.981
171,6578,7122,6901,6887,0,0,0,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.114,0,0.099,0,0,0,0,0,0,0,0.455,0.03,0,0.01,0.045,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.985
174,6726,7201,7023,7008,0,0,0,0.007,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0.086,0.004,0.126,0.004,0,0,0,0,0,0,0.301,0.004,0,0.011,0.056,0.004,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0.033,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0.007,0.978
177,6941,7266,7148,7131,0,0,0,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,0.005,0.155,0,0,0,0,0,0.005,0,0.197,0.07,0,0.009,0.033,0.005,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0.981
180,7054,7418,7255,7244,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236,0.009,0.091,0,0,0,0,0,0,0,0.173,0.109,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0.036,0,0,0,0,0.018,0.964
183,7133,7570,7351,7350,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0.174,0,0.157,0,0,0,0,0,0,0,0.165,0.026,0,0,0.104,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.93
186,7203,7726,7450,7453,0,0,0,0,0,0,0,0.003,0.003,0,0.01,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.083,0,0.163,0,0,0,0,0,0,0,0.292,0.01,0,0.01,0.073,0.007,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0.01,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.007,0.93
189,7284,7849,7553,7557,0,0,0,0.007,0,0,0.003,0,0,0,0.023,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.103,0.003,0.167,0,0,0,0,0,0,0,0.33,0.037,0,0.01,0.087,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.98
192,7361,7991,7653,7661,0,0,0,0.007,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.098,0,0.128,0,0,0,0,0,0,0,0.164,0.256,0,0.033,0.075,0,0,0,0,0,0.003,0,0,0,0,0,0.013,0,0,0,0.007,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.003,0.974
195,7455,8109,7759,7766,0,0,0,0.006,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0.122,0,0,0,0,0,0,0,0.177,0.201,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988
198,7547,8244,7866,7872,#VALOR!,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0,0.15,0,0,0.003,0,0,0,0,0.212,0.176,0,0.02,0.052,0,0,0,0,0.003,0,0.003,0,0,0,0,0.042,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.984
201,7639,8356,7967,7975,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.013,0,0,0.003,0,0.196,0,0.093,0,0,0.003,0,0,0,0,0.123,0.206,0,0.02,0.047,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0.007,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,0.003,0,0,0,0,0,0,0,0,0.023,0,0,0,0,0.013,0.957
204,7727,8483,8074,8079,0,0,0,0.003,0,0,0,0,0.006,0,0.003,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0.172,0,0.116,0,0,0,0,0,0,0,0.113,0.172,0,0.013,0.05,0.003,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0,0,0,0,0,0,0,0,0,0.019,0,0,0,0,0.022,0.978
207,7824,8584,8173,8182,0,0,0,0,0,0,0,0,0.003,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0.141,0,0,0,0,0,0,0,0.103,0.276,0,0.022,0.019,0.003,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0.006,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0.013,0.987
210,7904,8713,8280,8287,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.013,0,0,0,0.01,0,0,0.007,0,0.101,0.003,0.144,0,0,0,0.003,0,0,0,0.059,0.203,0,0.029,0.085,0.003,0,0,0,0.003,0,0,0,0,0,0,0.033,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,0.003,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0,0.977
213,7993,8823,8384,8387,0,0,0,0.022,0,0,0.006,0,0.003,0,0,0,0,0,0,0.009,0,0,0,0.003,0,0,0,0,0.126,0,0.18,0,0,0,0,0,0,0,0.057,0.205,0,0.06,0.041,0.003,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0.003,0.975
216,8080,8931,8483,8489,0,0,0,0.01,0,0,0,0,0,0,0.007,0,0,0,0,0.007,0,0,0,0.007,0,0,0.003,0,0.106,0.003,0.213,0,0,0,0,0,0,0,0.086,0.209,0,0.063,0.05,0,0,0,0,0,0.003,0,0,0,0,0,0.023,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.97
219,8186,9038,8590,8593,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.12,0.003,0.197,0,0,0,0,0,0,0,0.053,0.203,0,0.047,0.063,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.007,0.003,0,0,0,0,0,0.003,0,0.007,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0.003,0,0,0,0,0.007,0,0,0,0,0,0.957
222,8276,9149,8691,8695,0,0,0,0.003,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,0.003,0.181,0,0,0,0,0,0,0,0.094,0.188,0,0.019,0.045,0,0,0,0,0,0,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0.977
225,8371,9238,8793,8797,0,0,0,0.017,0,0,0.003,0,0.003,0,0.003,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.162,0,0.185,0,0,0,0,0,0.003,0,0.063,0.162,0,0.053,0.079,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.007,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.013,0.967
228,8471,9354,8901,8902,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0.172,0,0,0,0.003,0,0,0,0.056,0.198,0.003,0.05,0.066,0.003,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0.01,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0.172,0.003,0,0,0,0,0,0,0,0,0.013,0,0.003,0,0,0.007,0.941
231,8575,9460,9003,9006,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0.16,0,0,0.004,0,0,0,0,0.071,0.153,0,0.064,0.075,0.004,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0.004,0,0,0,0.004,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0.007,0.932
234,8667,9550,9109,9110,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,0,0.197,0,0,0,0,0,0,0,0.066,0.166,0,0.031,0.069,0,0,0,0,0,0,0,0,0,0,0,0.052,0.003,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.014,0.952
237,8765,9661,9214,9215,0,0,0,0.003,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0.169,0,0,0,0,0,0,0,0.113,0.179,0,0.053,0.04,0.003,0,0,0,0,0,0.003,0,0,0,0,0.046,0,0,0,0.01,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0.149,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0.927
240,8876,9770,9319,9321,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.159,0,0.213,0,0,0,0,0,0,0,0.09,0.103,0,0.003,0.04,0,0,0,0,0,0,0,0,0,0,0,0.096,0,0,0,0.017,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0.94
243,8983,9873,9422,9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.013,0,0,0,0,0.092,0,0.176,0,0,0,0,0,0,0,0.063,0.088,0,0.046,0.118,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0,0.004,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.223,0,0,0,0.004,0,0,0,0,0,0.017,0,0,0,0,0.038,0.95
246,9092,9960,9528,9527,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.157,0,0.141,0,0,0,0,0,0,0,0.082,0.131,0,0.052,0.108,0.007,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0.02,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.193,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0,0.039,0.984
249,9203,10066,9629,9630,0,0,0,0.003,0,0,0,0,0,0,0.003,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.163,0,0.131,0,0,0,0,0,0,0,0.137,0.127,0,0.013,0.085,0.003,0,0,0,0,0,0,0,0,0,0,0.042,0.003,0,0,0.023,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.026,0.98
252,9310,10164,9733,9734,0,0,0,0.003,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.108,0,0.146,0,0,0,0.01,0,0,0,0.067,0.166,0,0.035,0.089,0.003,0,0,0,0,0,0,0,0,0,0,0.073,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.22,0,0,0,0.003,0,0,0,0,0,0.022,0,0,0,0,0.01,0.975
255,9410,10256,9844,9840,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.005,0,0.019,0,0,0,0,0.115,0,0.134,0,0,0.005,0,0,0,0,0.077,0.148,0,0.019,0.11,0.014,0,0.005,0,0,0,0,0,0,0,0,0.038,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.033,0.909
258,9507,10361,9948,9945,0,0,0,0.006,0,0,0,0,0.006,0,0.006,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0.188,0.006,0.159,0,0,0,0,0,0,0,0.062,0.081,0,0.036,0.12,0.003,0,0,0,0,0,0,0,0,0,0.003,0.016,0,0,0,0.006,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.019,0.958
261,9633,10445,10057,10050,0,0,0,0.013,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0.22,0,0.224,0,0,0,0,0,0,0,0.078,0.181,0,0.013,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.022,0.953
264,9730,10545,10161,10153,0,0,0,0.01,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0,0,0,0,0,0,0,0.119,0.09,0,0.038,0.062,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.948
267,9849,10628,10262,10256,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0.003,0,0,0,0,0,0.179,0,0.157,0,0,0,0,0,0,0,0.082,0.251,0,0.006,0.047,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0.016,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0.003,0.144,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0.022,0.984
270,9958,10725,10368,10361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.105,0,0.242,0,0,0,0,0,0,0,0.023,0.234,0,0.055,0.059,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0,0,0.004,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0.031,0.953
273,10076,10806,10473,10467,0,0,0,0.004,0,0,0,0,0,0,0.004,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.126,0,0.242,0,0,0.004,0,0,0,0,0.058,0.188,0,0.004,0.061,0.004,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.004,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0.058,0.942
276,10192,10889,10583,10572,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.138,0,0.244,0,0,0,0,0,0,0,0.02,0.228,0,0.008,0.053,0.008,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0.004,0,0,0,0,0,0,0,0.02,0,0,0,0,0.004,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0.098,0.951
279,10322,10960,10684,10677,0,0,0,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,0,0.203,0,0,0,0,0,0,0,0.031,0.135,0,0.026,0.089,0.005,0,0,0,0,0.005,0,0,0,0,0,0.021,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.068,0.969
282,10447,11033,10793,10780,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0.155,0,0.233,0,0,0.009,0,0,0,0,0.043,0.198,0,0,0.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.948
285,10568,11153,10914,10893,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0,0.107,0,0,0,0,0,0,0,0.007,0.647,0,0.01,0.027,0.003,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0.98
288,11613,12460,12100,12083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0,0.187,0,0,0,0,0,0,0,0.009,0.019,0,0.019,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,1
291,11785,12766,12317,12307,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.003,0.36,0,0.212,0,0,0.003,0,0,0,0,0.027,0.02,0,0.03,0.084,0.003,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.003,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0.118,0,0,0,0,0,0,0.007,0,0,0.003,0,0,0,0,0.071,0.963
